Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
604, 177.87,    0.0039,   -0.0028
605, 179.16,    0.0044,   -0.0031
606, 180.45,    0.0047,   -0.0054
607, 181.74,    0.0044,   -0.0010
608, 183.03,    0.0041,   -0.0026
609, 184.32,    0.0048,   -0.0021
610, 185.60,    0.0044,    0.0015
611, 186.89,    0.0043,    0.0034
612, 188.18,    0.0044,   -0.0003
613, 189.47,    0.0037,   -0.0007
614, 190.76,    0.0039,   -0.0017
615, 192.04,    0.0037,   -0.0003
616, 193.33,    0.0039,   -0.0018
617, 194.62,    0.0042,    0.0001
618, 195.91,    0.0038,   -0.0011
619, 197.20,    0.0043,    0.0016
620, 198.49,    0.0042,   -0.0018
621, 199.77,    0.0047,   -0.0019
622, 201.06,    0.0045,   -0.0016
623, 202.35,    0.0036,   -0.0007
624, 203.64,    0.0031,   -0.0016
625, 204.93,    0.0038,   -0.0006
626, 206.22,    0.0033,    0.0010
627, 207.50,    0.0035,   -0.0011
628, 208.79,    0.0033,    0.0000
629, 210.08,    0.0030,    0.0017
630, 211.37,    0.0034,   -0.0025
631, 212.66,    0.0037,   -0.0015
632, 213.94,    0.0030,   -0.0004
633, 215.23,    0.0037,   -0.0003
634, 216.52,    0.0036,    0.0022
635, 217.81,    0.0032,   -0.0011
636, 219.10,    0.0031,   -0.0008
637, 220.39,    0.0026,    0.0035
638, 221.67,    0.0032,    0.0017
639, 222.96,    0.0035,    0.0028
640, 224.25,    0.0029,    0.0027
641, 225.54,    0.0030,    0.0032
642, 226.83,    0.0029,    0.0006
643, 228.12,    0.0033,    0.0026
644, 229.40,    0.0028,    0.0014
645, 230.69,    0.0027,    0.0022
646, 231.98,    0.0029,    0.0026
647, 233.27,    0.0025,   -0.0021
648, 234.56,    0.0025,    0.0005
649, 235.84,    0.0024,    0.0019
650, 237.13,    0.0023,    0.0003
651, 238.42,    0.0021,    0.0032
652, 239.71,    0.0020,    0.0009
653, 241.00,    0.0016,   -0.0015
654, 242.29,    0.0017,   -0.0004
655, 243.57,    0.0009,   -0.0006
656, 244.86,    0.0011,    0.0018
657, 246.15,    0.0012,    0.0015
658, 247.44,    0.0012,    0.0014
659, 248.73,    0.0010,    0.0010
660, 250.01,    0.0008,    0.0063
661, 251.30,    0.0007,    0.0008
662, 252.59,    0.0009,    0.0026
663, 253.88,    0.0010,    0.0060
664, 255.17,    0.0011,    0.0147
665, 256.46,    0.0014,    0.0050
666, 257.74,    0.0010,    0.0036
667, 259.03,    0.0017,    0.0019
668, 260.32,    0.0013,    0.0044
669, 261.61,    0.0008,    0.0035
670, 262.90,    0.0012,    0.0024
671, 264.19,    0.0013,    0.0041
672, 265.47,    0.0009,    0.0082
673, 266.76,    0.0014,    0.0127
674, 268.05,    0.0005,    0.0062
675, 269.34,    0.0008,    0.0059
676, 270.63,    0.0005,    0.0033
677, 271.91,    0.0013,    0.0030
678, 273.20,    0.0009,    0.0041
